<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.AMD,1,20170831,134300,12.7100000,12.7100000,12.7100000,12.7100000,229
SPBEX.AMD,1,20170831,134700,12.7600000,12.7600000,12.7600000,12.7600000,20
SPBEX.AMD,1,20170831,135400,12.7400000,12.7400000,12.7400000,12.7400000,400
SPBEX.AMD,1,20170831,140800,12.7200000,12.7200000,12.7200000,12.7200000,180
SPBEX.AMD,1,20170831,140900,12.7200000,12.7200000,12.7200000,12.7200000,20
SPBEX.AMD,1,20170831,141100,12.7500000,12.7500000,12.7500000,12.7500000,100
SPBEX.AMD,1,20170831,141200,12.7500000,12.7500000,12.7500000,12.7500000,300
SPBEX.AMD,1,20170831,141300,12.7500000,12.7500000,12.7500000,12.7500000,2100
SPBEX.AMD,1,20170831,143500,12.7500000,12.7500000,12.7500000,12.7500000,596
SPBEX.AMD,1,20170831,143700,12.7600000,12.7600000,12.7600000,12.7600000,280
SPBEX.AMD,1,20170831,144600,12.7600000,12.7700000,12.7600000,12.7700000,1120
SPBEX.AMD,1,20170831,145400,12.7700000,12.7700000,12.7700000,12.7700000,1380
SPBEX.AMD,1,20170831,145500,12.7700000,12.7700000,12.7700000,12.7700000,100
SPBEX.AMD,1,20170831,145700,12.7500000,12.7500000,12.7500000,12.7500000,404
SPBEX.AMD,1,20170831,145900,12.7500000,12.7600000,12.7300000,12.7300000,3644
SPBEX.AMD,1,20170831,150700,12.7400000,12.7400000,12.7400000,12.7400000,500
SPBEX.AMD,1,20170831,150900,12.7600000,12.7600000,12.7600000,12.7600000,3000
SPBEX.AMD,1,20170831,151500,12.7600000,12.7600000,12.7600000,12.7600000,1000
SPBEX.AMD,1,20170831,151600,12.7700000,12.7700000,12.7700000,12.7700000,500
SPBEX.AMD,1,20170831,151800,12.7700000,12.7700000,12.7700000,12.7700000,40
SPBEX.AMD,1,20170831,152200,12.7700000,12.7700000,12.7700000,12.7700000,1500
SPBEX.AMD,1,20170831,152400,12.7700000,12.7700000,12.7700000,12.7700000,400
SPBEX.AMD,1,20170831,153000,12.7700000,12.7700000,12.7700000,12.7700000,60
SPBEX.AMD,1,20170831,153100,12.7700000,12.7700000,12.7700000,12.7700000,500
SPBEX.AMD,1,20170831,153200,12.7600000,12.7600000,12.7600000,12.7600000,50
SPBEX.AMD,1,20170831,153300,12.7600000,12.7600000,12.7600000,12.7600000,50
SPBEX.AMD,1,20170831,153900,12.7700000,12.7700000,12.7700000,12.7700000,265
SPBEX.AMD,1,20170831,154300,12.7800000,12.7800000,12.7800000,12.7800000,322
SPBEX.AMD,1,20170831,154400,12.7800000,12.7800000,12.7800000,12.7800000,200
SPBEX.AMD,1,20170831,154500,12.7900000,12.7900000,12.7900000,12.7900000,850
SPBEX.AMD,1,20170831,154900,12.7900000,12.7900000,12.7900000,12.7900000,1333
SPBEX.AMD,1,20170831,155100,12.8000000,12.8000000,12.8000000,12.8000000,3321
SPBEX.AMD,1,20170831,155300,12.8200000,12.8200000,12.8200000,12.8200000,100
SPBEX.AMD,1,20170831,155700,12.8300000,12.8300000,12.8200000,12.8200000,950
SPBEX.AMD,1,20170831,155800,12.8200000,12.8500000,12.8200000,12.8500000,4200
SPBEX.AMD,1,20170831,155900,12.8500000,12.8500000,12.8400000,12.8400000,900
SPBEX.AMD,1,20170831,160100,12.8300000,12.8300000,12.8300000,12.8300000,210
SPBEX.AMD,1,20170831,160200,12.8400000,12.8600000,12.8400000,12.8600000,3788
